newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2021-03-12 14:00:30,3,1,0,3,1,BTC,2,1,2021,3,1
2021-03-12 16:19:00,8,9,9,9,19,BTC,-10,0,2021,3,1
2021-03-14 19:20:00,5,11,2,9,1,BTC,8,9,2021,3,1
2021-03-15 10:00:03,22,11,1,16,4,BTC,12,10,2021,3,1
2021-03-17 14:15:04,4,4,0,4,0,BTC,4,4,2021,3,1
2021-03-17 15:27:38,3,5,0,5,1,BTC,4,5,2021,3,1
2021-03-17 15:50:16,9,14,0,22,0,BTC,22,14,2021,3,1
2021-03-17 16:35:05,5,5,0,5,0,BTC,5,5,2021,3,1
2021-03-17 19:25:00,13,20,0,28,0,BTC,28,20,2021,3,1
2021-03-17 21:30:00,3,3,0,4,0,BTC,4,3,2021,3,1
2021-03-17 23:22:47,10,18,0,23,0,BTC,23,18,2021,3,1
2021-03-19 10:19:00,3,11,0,16,0,BTC,16,11,2021,3,1
2021-03-19 23:09:25,4,6,0,6,0,BTC,6,6,2021,3,1
2021-03-20 08:39:42,3,6,0,7,0,BTC,7,6,2021,3,1
2021-03-20 09:21:00,18,9,4,4,16,BTC,-12,5,2021,3,1
2021-03-20 11:19:07,7,10,0,10,0,BTC,10,10,2021,3,1
2021-03-20 11:54:03,5,3,0,0,4,BTC,-4,3,2021,3,1
2021-03-20 14:00:22,6,14,0,11,0,BTC,11,14,2021,3,1
2021-03-21 06:21:14,4,13,29,11,3,BTC,8,-16,2021,3,1
2021-03-21 12:11:08,3,9,0,12,1,BTC,11,9,2021,3,1
2021-03-21 13:45:27,4,6,1,6,1,BTC,5,5,2021,3,1
2021-03-21 19:00:42,11,12,3,14,5,BTC,9,9,2021,3,1
2021-03-21 20:29:11,10,17,0,21,0,BTC,21,17,2021,3,1
2021-03-22 10:50:41,3,6,1,5,0,BTC,5,5,2021,3,1
2021-03-23 07:08:58,7,7,0,8,0,BTC,8,7,2021,3,1
2021-03-24 07:16:43,11,22,0,28,0,BTC,28,22,2021,3,1
2021-03-24 09:05:31,3,7,0,10,0,BTC,10,7,2021,3,1
2021-03-24 16:43:08,4,3,0,3,3,BTC,0,3,2021,3,1
2021-03-24 21:01:43,3,4,0,2,0,BTC,2,4,2021,3,1
2021-03-25 09:10:42,11,16,5,24,2,BTC,22,11,2021,3,1
2021-03-25 13:28:40,3,4,0,6,1,BTC,5,4,2021,3,1
2021-03-25 15:18:51,8,8,0,10,3,BTC,7,8,2021,3,1
2021-03-25 18:33:49,4,5,0,9,2,BTC,7,5,2021,3,1
2021-03-26 11:28:13,6,6,0,6,4,BTC,2,6,2021,3,1
2021-03-28 16:10:51,23,37,0,47,0,BTC,47,37,2021,3,1
2021-03-28 20:35:34,27,22,0,31,0,BTC,31,22,2021,3,1
2021-03-29 07:22:46,3,6,0,5,0,BTC,5,6,2021,3,1
2021-03-29 09:00:00,18,30,0,40,0,BTC,40,30,2021,3,1
2021-03-29 09:52:53,10,17,0,20,0,BTC,20,17,2021,3,1
2021-03-29 12:22:53,5,7,0,7,0,BTC,7,7,2021,3,1
2021-03-29 13:26:39,9,13,1,22,0,BTC,22,12,2021,3,1
2021-03-29 13:42:56,7,14,0,20,0,BTC,20,14,2021,3,1
2021-03-29 18:53:45,3,4,0,6,0,BTC,6,4,2021,3,1
2021-03-30 12:19:00,6,8,0,9,0,BTC,9,8,2021,3,1
2021-03-30 14:10:00,27,40,0,58,0,BTC,58,40,2021,3,1
2021-03-30 16:52:43,7,8,0,8,0,BTC,8,8,2021,3,1
2021-03-30 20:58:04,4,4,6,5,4,BTC,1,-2,2021,3,1
2021-03-31 08:48:32,3,4,3,3,2,BTC,1,1,2021,3,1
2021-03-31 09:44:38,4,4,1,5,2,BTC,3,3,2021,3,1
2021-03-31 18:44:56,3,5,0,4,0,BTC,4,5,2021,3,1
2021-04-01 09:50:59,3,1,12,1,4,BTC,-3,-11,2021,4,2
